Descricao,Codigo,RET,Validade_RET,IA
Nippon 40,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹ + nicossulfurom (sulfoniluréia) 40g/kg
Nisshin,,,,nicossulfurom (sulfoniluréia) 750g/kg
Nominee 400 SC,,,,
Nomolt 150,,,,teflubenzurom (benzoiluréia) 150g.L⁻¹
Norton,,,,"2,4-D-trietanolamina (ácido ariloxialcanóico) 402g.L⁻¹"
Novazin Cheminova,,,,carbendazim (benzimidazol) 500g.L⁻¹
Novazin Cheminova,,,,carbendazim (benzimidazol) 500g.L⁻¹
Novolate,,,,trifluralina (dinitroanilina) 600g.L⁻¹
Nufos 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Nufos 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Nufosate,,,,glifosato (glicina substituída) 480g.L⁻¹
Nufosate BR,,,,
Nufosate WG,,,,glifosato (glicina substituída) 792g.L⁻¹
Nufuron,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Nuprid 700 WG,,,,imidacloprido (neonicotinóide) 700g/kg
Nuquat,,,,Dicloreto de paraquate (bipiridílio) 200g.L⁻¹
Oberon,,,,espiromesifeno (cetoenol) 240g.L⁻¹
Obny,,,,cyflumetofen (acylacetonitrila) 200g.L⁻¹
Odin 430 SC,,,,tebuconazol (triazol) 430g.L⁻¹
Okay,,,,cyflumetofen (acylacetonitrila) 200g.L⁻¹
Óleo Vegetal Du Fol,,,,Oleo Vegetal (ésteres de ácidos graxos) 860g.L⁻¹
Óleo Vegetal Fertimax,,,,Oleo Vegetal (ésteres de ácidos graxos) 862g.L⁻¹
Óleo Vegetal Nortox,,,,Oleo Vegetal (ésteres de ácidos graxos) 930g.L⁻¹
Óleo Vegetal Samaritá,,,,Oleo Vegetal (ésteres de ácidos graxos) 880g.L⁻¹
Omite 300 WP,,,,propargito (sulfito de alquila) 300g/kg
Omite 720 EC,,,,propargito (sulfito de alquila) 720g.L⁻¹
Oncol Sipcam,,,,
Oncol 10 G,,,,
Oneshot,,,,imazaquim (imidazolinona) 30g.L⁻¹ + glifosato (glicina substituída) 111g.L⁻¹
Onic 300,,,,alanicarbe (metilcarbamato de oxima) 300g.L⁻¹
Only,,,,imazetapir (imidazolinona) 75g.L⁻¹ + imazapique (imidazolinona) 25g.L⁻¹
Opera,,,,epoxiconazol (triazol) 50g.L⁻¹
Opera Ultra,,,,piraclostrobina (estrobilurina) 130g.L⁻¹ + metconazol (triazol) 80g.L⁻¹
Opera XE,,,,piraclostrobina (estrobilurina) 81g.L⁻¹ + fluxapiroxade (carboxamida) 50g.L⁻¹ + epoxiconazol (triazol) 50g.L⁻¹
Oppa,,,,óleo mineral (hidrocarbonetos alifáticos) 840g.L⁻¹
Oppa BR EC,,,,óleo mineral (hidrocarbonetos alifáticos) 800g.L⁻¹
Optix,,,,Beta-Cipermetrina (piretróide) 100g.L⁻¹
Opus SC,,,,epoxiconazol (triazol) 125g.L⁻¹
Oranis,,,,Picoxistrobina (estrobilurina) 250g.L⁻¹
Orbit,,,,Paraquate (bipiridílio) 200g.L⁻¹
Oregon,,,,novalurom (benzoiluréia) 100g.L⁻¹
Orfeu,,,,acetamiprido (neonicotinóide) 200g/kg
Oris,,,,tebutiurom (uréia) 250g/kg + amicarbazona (triazolinona) 350g/kg
Orius 250 EC,,,,tebuconazol (triazol) 250g.L⁻¹
Orix,,,,óleo mineral (hidrocarbonetos alifáticos) 800g.L⁻¹
Orkestra SC,,,,piraclostrobina (estrobilurina) 333g.L⁻¹ + fluxapiroxade (carboxamida) 167g.L⁻¹
Orthene 750 BR,,,,acefato (organofosforado) 750g/kg
Orthocide 500,,,,captana (dicarboximida) 500g/kg
Ortus 50 SC,,,,fenpiroximato (pirazol) 50g.L⁻¹
Outliner,,,,
Pacto,,,,cloransulam-metílico 840g/kg + (sulfonanilida triazolopirimidina) 840g/kg
Padron,,,,
Palace,,,,
Palisade,,,,fluquinconazol (triazol) 250g.L⁻¹
Pampa,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Panoramic,,,,"picloram (ácido piridinocarboxílico) 114g.L⁻¹ + 2,4-D (ácido ariloxialcanóico) 447g.L⁻¹"
Pantani 750 WG,,,,nicossulfurom (sulfoniluréia) 750g/kg
Panther 120 EC,,,,
Panzer 250 WDG,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Paracap 450 CS,,,,parationa-metílica (organofosforado) 450g.L⁻¹
Paradox,,,,Dicloreto de paraquate (bipiridílio) 200g.L⁻¹
Paraquat 200 SL Alamos,,,,Dicloreto de paraquate (bipiridílio) 276g.L⁻¹
Paraquate Alta 200 SL,,,,Dicloreto de paraquate (bipiridílio) 276g.L⁻¹
Parsec,,,,amitraz (bis(arilformamidina)) 200g.L⁻¹
Patrol,,,,
Pausato,,,,abamectina (avermectina) 18g.L⁻¹
PB-Rope-L,,,,gossiplure (acetatos poliinsaturados) 467g.L⁻¹
Pendimethalin Sanachem 500 EC,,,,pendimetalina (dinitroanilina) 500g.L⁻¹
Pendulum,,,,pendimetalina (dinitroanilina) 400g.L⁻¹
Penncozeb WG,,,,mancozebe (alquilenobis(ditiocarbamato)) 750g/kg
Penncozeb 800 WP,,,,mancozebe (alquilenobis(ditiocarbamato)) 800g/kg
Penoxsulam Pré-mistura,,,,Penoxsulam (sulfonanilida triazolopirimidina) 644g.L⁻¹
Perfekthion,,,,dimetoato (organofosforado) 400g.L⁻¹
Perflan,,,,tebutiurom (uréia) 800g/kg
Perflan 800 BR,,,,tebutiurom (uréia) 800g/kg
Perform 240 SL,,,,hexazinona (triazinona) 240g.L⁻¹
Perito 970 SG,,,,acefato (organofosforado) 970g/kg
Permetrin 384 EC CCAB,,,,permetrina (piretróide) 384g.L⁻¹
Permetrina Fersol 384 EC,,,,permetrina (piretróide) 384g.L⁻¹
Permit,,,,Fenil Fosforotiato 500g/kg
Permit,,,,Fenil Fosforotiato 500g/kg
Persist SC,,,,mancozebe (alquilenobis(ditiocarbamato)) 445g.L⁻¹
Phostek,,,,
Phostoxin,,,,
Photon SC,,,,triadimenol (triazol) 312g.L⁻¹
Picloram 240 Volagro,,,,picloram (ácido piridinocarboxílico) 240g.L⁻¹
Picus,,,,imidacloprido (neonicotinóide) 600g.L⁻¹
Picus,,,,imidacloprido (neonicotinóide) 600g.L⁻¹
Pilarich,,,,clorotalonil 720 720g.L⁻¹
Pilarsato,,,,glifosato (glicina substituída) 480g.L⁻¹
Pilon WG,,,,propanil (anilida) 600g/kg
Pingbr,,,,permetrina (piretróide) 384g.L⁻¹
Pique 240 SL,,,,picloram (ácido piridinocarboxílico) 388g.L⁻¹
Pirâmide,,,,acetamiprido (neonicotinóide) 700g/kg
Pirate,,,,clorfenapir (análogo de pirazol) 240g.L⁻¹
Pirephos EC,,,,fenitrotiona (organofosforado) 800g.L⁻¹ + esfenvalerato (piretróide) 40g.L⁻¹
Pirestar 250 SC,,,,permetrina (piretróide) 250g.L⁻¹
Pirestar 250 SC,,,,permetrina (piretróide) 250g.L⁻¹
Piritilen,,,,clorpirifós (organofosforado) 10g/kg
Pistol 106 SL,,,,imazetapir (imidazolinona) 106g.L⁻¹
Pitcher 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Pitcher 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Pivot,,,,imazetapir (imidazolinona) 100g.L⁻¹
Pivot DG,,,,imazetapir (imidazolinona) 700g/kg
Pivot 100 SL,,,,imazetapir (imidazolinona) 100g.L⁻¹
Pix HC,,,,Cloreto de Mepiquate (amônio quaternário) 250g.L⁻¹
Pladox,,,,piraclostrobina (estrobilurina) 133g.L⁻¹ + epoxiconazol (triazol) 50g.L⁻¹
Planador,,,,picloram (ácido piridiniloxialcanóico) 143g.L⁻¹
Plantvax 750 WP,,,,oxicarboxina (carboxanilida) 750g/kg
Plateau,,,,imazapique (imidazolinona) 700g/kg
Platinum Neo,,,,tiametoxam (neonicotinóide) 141g.L⁻¹ + lambda-cialotrina (piretróide) 106g.L⁻¹
Plenum,,,,
Poast,,,,setoxidim (oxima ciclohexanodiona) 184g.L⁻¹
Poast Plus,,,,setoxidim (oxima ciclohexanodiona) 120g.L⁻¹
Pocco 480 SL,,,,glifosato (glicina substituída) 480g.L⁻¹
Podium EW,,,,
Polaris,,,,glifosato (glicina substituída) 480g.L⁻¹
Polo 500 SC,,,,diafentiurom (feniltiouréia) 500g.L⁻¹
Polyram DF,,,,metiram (alquilenobis(ditiocarbamato)) 700g/kg
Polytrin,,,,profenofós (organofosforado) 400g.L⁻¹ + cipermetrina (piretróide) 40g.L⁻¹
Polytrin 400/40 CE,,,,profenofós (organofosforado) 400g.L⁻¹ + cipermetrina (piretróide) 40g.L⁻¹
Pomme,,,,
Poncho,,,,Clotianidina (neonicotinóide) 600g.L⁻¹
Ponto,,,,novalurom (benzoiluréia) 100g.L⁻¹ + Bacillus thuringiensis (biológico) 850g/kg
Ponto,,,,novalurom (benzoiluréia) 100g.L⁻¹ + Bacillus thuringiensis (biológico) 850g/kg
Pooper,,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
Poquer,,,,cletodim (oxima ciclohexanodiona) 240g.L⁻¹
Portero,,,,carbendazim (benzimidazol) 500g.L⁻¹
Portero,,,,carbendazim (benzimidazol) 500g.L⁻¹
Posmil,,,,atrazina (triazina) 400g.L⁻¹
Potensato,,,,
Potenza Sinon,,,,abamectina (avermectina) 18g.L⁻¹
Potenzor,,,,flutriafol (triazol) 125g.L⁻¹
Potenzor,,,,flutriafol (triazol) 125g.L⁻¹
Pottente,,,,
Pounce 384 EC,,,,permetrina (piretróide) 384g.L⁻¹
Praise,,,,epoxiconazol (triazol) 125g.L⁻¹
Pramilho,,,,nicossulfurom (sulfoniluréia) 750g/kg
Pratico,,,,imidacloprido (neonicotinóide) 250g.L⁻¹ + flutriafol (triazol) 200g.L⁻¹
Preciso,,,,glifosato (glicina substituída) 747g.L⁻¹
Predatox,,,,Trichoderma harzianum (biológico) 20g.L⁻¹
Predileto,,,,tebutiurom (uréia) 250g/kg + amicarbazona (triazolinona) 350g/kg
Premerlin 600 EC,,,,trifluralina (dinitroanilina) 600g.L⁻¹
Premier,,,,imidacloprido (neonicotinóide) 700g/kg
Premier Plus,,,,triadimenol (triazol) 250g.L⁻¹ + imidacloprido (neonicotinóide) 175g.L⁻¹
Premio,"",,,clorantraniliprole (antranilamida) 200g.L⁻¹
Premis,,,,triticonazol (triazol) 200g.L⁻¹
Pren-D 806,,,,"2,4-D (ácido ariloxialcanóico) 806g.L⁻¹"
Prep,,,,etefom (etileno (precursor de)) 480g.L⁻¹
Prestige,,,,
Prestige Plus,,,,
Pretorian,,,,glifosato (glicina substituída) 480g.L⁻¹
Prevail,,,,
Prevent,,,,carbendazim (benzimidazol) 500g.L⁻¹
Previcur BCS,,,,Cloridrato de propamocarbe (carbamato) 722g.L⁻¹
Previcur N,,,,Cloridrato de propamocarbe (carbamato) 722g.L⁻¹
Previnil,,,,clorotalonil 720 720g.L⁻¹
Primagram Gold,,,,S-metolacloro (cloroacetanilida) 230g.L⁻¹ + atrazina (triazina) 370g.L⁻¹
Primaiz Gold,,,,S-metolacloro (cloroacetanilida) 230g.L⁻¹ + atrazina (triazina) 370g.L⁻¹
Primatop SC,,,,simazina (triazina) 250g.L⁻¹ + atrazina (triazina) 250g.L⁻¹
Primeplus BR,,,,flumetralina (dinitroanilina) 125g.L⁻¹
Primestra Gold,,,,S-metolacloro (cloroacetanilida) 290g.L⁻¹ + atrazina (triazina) 370g.L⁻¹
Primo,,,,ciproconazol (triazol) 80g.L⁻¹ + azoxistrobina (estrobilurina) 200g.L⁻¹
Primóleo,,,,atrazina (triazina) 400g.L⁻¹
Pri-Mordial,,,,"2,4-D-trietanolamina (ácido ariloxialcanóico) 402g.L⁻¹"
Priori,,,,azoxistrobina (estrobilurina) 250g.L⁻¹
Priori Top,,,,azoxistrobina (estrobilurina) 200g.L⁻¹
Priori Xtra,,,,azoxistrobina (estrobilurina) 200g.L⁻¹
Prisma,,,,difenoconazol (triazol) 250g.L⁻¹
Produtorbr,,,,tebuconazol (triazol) 200g.L⁻¹
Profit,,,,clomazona (isoxazolidinona) 600g.L⁻¹ + carfentrazona-etílica 15g.L⁻¹
Profit,,,,clomazona (isoxazolidinona) 600g.L⁻¹ + carfentrazona-etílica 15g.L⁻¹
Pro-Gibb,,,,ácido giberélico (giberelina) 100g/kg
Progibb 400,,,,ácido giberélico (giberelina) 400g/kg
Proline,,,,Protioconazol (Triazolinthione) 250g.L⁻¹
Promalin,,,,benziladenina (citocinina) 18g.L⁻¹ + ácido giberélico (giberelina) 18g.L⁻¹
Pronto WG,,,,clorotalonil 720 850g/kg
Proof,,,,atrazina (triazina) 500g.L⁻¹
Propanil Fersol 360 EC,,,,propanil (anilida) 360g.L⁻¹
Propanil Milenia,,,,propanil (anilida) 360g.L⁻¹
Propanil 360 Agripec,,,,propanil (anilida) 360g.L⁻¹
Propargite Fersol 720 EC,,,,propargito (sulfito de alquila) 720g.L⁻¹
Propiconazole Nortox,,,,propiconazol (triazol) 250g.L⁻¹
Proplant,,,,Cloridrato de propamocarbe (carbamato) 722g.L⁻¹
Prospect,,,,piraclostrobina (estrobilurina) 133g.L⁻¹ + epoxiconazol (triazol) 50g.L⁻¹
Prostore 2 DP,,,,bifentrina (piretróide) 2g/kg
Prostore 2 DP,,,,bifentrina (piretróide) 2g/kg
Prostore 25 CE,,,,bifentrina (piretróide) 25g.L⁻¹
Prostore 25 CE,,,,bifentrina (piretróide) 25g.L⁻¹
Protreat,,,,tiram (dimetilditiocarbamato) 350g.L⁻¹ + carbendazim (benzimidazol) 150g.L⁻¹
Provado 200 SC,,,,imidacloprido (neonicotinóide) 200g.L⁻¹
Provence 750 WG,,,,isoxaflutol (isoxazol) 750g/kg
Pugil WG,,,,clorotalonil 720 750g/kg
Pulsor 240 SC,,,,tifluzamida (carboxanilida) 240g.L⁻¹
Punto,,,,tidiazurom (uréia) 360g.L⁻¹ + diurom (uréia) 180g.L⁻¹
PureSpray 15E,,,,óleo mineral (hidrocarbonetos alifáticos) 843g.L⁻¹
Pyraclostrobin Pré Mistura  40%,,,,piraclostrobina (estrobilurina) 400g.L⁻¹
Pyrinex 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Quadris,,,,azoxistrobina (estrobilurina) 250g.L⁻¹
Quality,,,,Trichoderma asperellum (biológico) 280g.L⁻¹
Quatdown,,,,Dicloreto de paraquate (bipiridílio) 276g.L⁻¹
Quatermon,,,,cloreto de benzalcônio (amônio quaternário) 125g.L⁻¹
Quicksilver 400 EC,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Quicksilver 400 EC,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Quimióleo,,,,Oleo Vegetal (ésteres de ácidos graxos) 856g.L⁻¹
Rabcide 200,,,,ftalida (ftalida) 200g.L⁻¹
Radan,,,,óxido de fembutatina (organoestânico) 500g.L⁻¹
Radar,,,,
Radar WG,,,,glifosato (glicina substituída) 792g/kg
Radiant 100,,,,
Radiant 100 EC,,,,
Rage,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Rage,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Raio,,,,"picloram (ácido piridinocarboxílico) 103g.L⁻¹ + 2,4-D-trietanolamina (ácido ariloxialcanóico) 406g.L⁻¹"
Rajer 250 WG,,,,clorimurom-etílico (sulfoniluréia) 250g/kg
Ralzer 350 TS,,,,carbofurano (metilcarbamato de benzofuranila) 350g.L⁻¹
Ralzer 50 GR,,,,carbofurano (metilcarbamato de benzofuranila) 50g/kg
Rambo 750 WG,,,,hexazinona (triazinona) 750g/kg
Ramexane 850 PM,,,,oxicloreto de cobre (inorgânico) 850g/kg
Rancho,,,,hexazinona (triazinona) 67g/kg + diurom (uréia) 533g/kg
Rancona T,,,,tiram (dimetilditiocarbamato) 350g.L⁻¹
Rancona 450 FS,,,,ipconazol (triazol) 462g.L⁻¹
Ranger,,,,hexazinona (triazinona) 100g/kg + clomazona (isoxazolidinona) 400g/kg
Ranman,,,,Ciazofamida (imidazol) 400g.L⁻¹
Rapel,,,,acefato (organofosforado) 750g/kg
Rapid,,,,enxofre (inorgânico) 800g/kg
Rapsode,,,,
Rapsode,,,,
Raptor 70 DG,,,,imazamoxi (imidazolinona) 700g/kg
Rascal,,,,
Raxil FS,,,,tebuconazol (triazol) 25g.L⁻¹
Reator 360 CS,,,,clomazona (isoxazolidinona) 360g.L⁻¹
Reator 360 CS,,,,clomazona (isoxazolidinona) 360g.L⁻¹
Record 480 EC,,,,clorpirifós (organofosforado) 480g.L⁻¹
Regalia Maxx,,,,Golias (biológico) 224g.L⁻¹
Regent Duo,,,,fipronil (pirazol) 180g.L⁻¹ + alfa-cipermetrina (piretróide) 120g.L⁻¹
Regent 20 GR,,,,fipronil (pirazol) 20g/kg
Regent 800 WG,,,,fipronil (pirazol) 800g/kg
Regio,,,,epoxiconazol (triazol) 125g.L⁻¹
Reglone,,,,Dibrometo de diquate (bipiridílio) 200g.L⁻¹
Rephon 800 WG,,,,fipronil (pirazol) 800g/kg
Resource 100,,,,
Retain,,,,
Revus,,,,mandipropamid (éter mandelamida) 250g.L⁻¹ + mandipropamid (éter mandelamida) 250g.L⁻¹
Revus Opti,,,,mandipropamid (éter mandelamida) 40g.L⁻¹ + clorotalonil 720 400g.L⁻¹
Rhodiauram SC,,,,tiram (dimetilditiocarbamato) 500g.L⁻¹
Rhyme,,,,fipronil (pirazol) 800g/kg
Ricer,,,,Penoxsulam (sulfonanilida triazolopirimidina) 240g.L⁻¹
Ridomil Gold Bravo,,,,metalaxil-M (acilalaninato) 40g.L⁻¹
Ridomil Gold MZ,,,,metalaxil-M (acilalaninato) 40g/kg + mancozebe (alquilenobis(ditiocarbamato)) 640g/kg
Ridover,,,,glifosato (glicina substituída) 792g/kg
Rigol,,,,imidacloprido (neonicotinóide) 165g.L⁻¹ + bifentrina (piretróide) 135g.L⁻¹
Rimon Supra,,,,novalurom (benzoiluréia) 100g.L⁻¹
Rimon 100 EC,,,,novalurom (benzoiluréia) 100g.L⁻¹
Riper,,,,
Ritmo 280,,,,
Rival 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Rivax,,,,tebuconazol (triazol) 125g.L⁻¹ + carbendazim (benzimidazol) 250g.L⁻¹
Riza 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Riza 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Rizotec,,,,Pochonia chlamydosporia (biológico) 28%
Rocks,,,,imidacloprido (neonicotinóide) 165g.L⁻¹ + bifentrina (piretróide) 135g.L⁻¹
Rodazim 500 SC,,,,carbendazim (benzimidazol) 500g.L⁻¹
Rodeo,,,,glifosato (glicina substituída) 648g.L⁻¹
Rometsol 600 WG,,,,metsulfurom-metílico (sulfoniluréia) 600g/kg
Ronat-A,,,,glifosato (glicina substituída) 480g.L⁻¹
Ronstar SC,,,,oxadiazona (oxadiazolona) 400g.L⁻¹
Ronstar 250 BR,,,,oxadiazona (oxadiazolona) 250g.L⁻¹
Rotamik,,,,abamectina (avermectina) 18g.L⁻¹
Rotaprid 350 SC,,,,imidacloprido (neonicotinóide) 350g.L⁻¹
Rotashock,,,,metomil (metilcarbamato de oxima) 216g.L⁻¹ + metanol (álcool alifático) 383g.L⁻¹
Roundup Original,,,,
Roundup Original DI,,,,Bacillus thuringiensis (biológico) 400g/kg
Roundup Ready,,,,
Roundup Ready Milho,,,,
Roundup Transorb,,,,
Roundup Transorb R,,,,
Roundup Ultra,,,,glifosato-sal de amônio (glicina substituída) 715g/kg
Roundup WG,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Rovral,,,,iprodiona (dicarboximida) 500g/kg
Rovral SC,,,,iprodiona (dicarboximida) 500g.L⁻¹
Royal MH SL,,,,hidrazida malêica V(piridazinadiona) 180g.L⁻¹
Royaltac EC,,,,decanol (álcool alifático) 685g.L⁻¹
Rubigan 120 EC,,,,fenarimol (pirimidinil carbinol) 120g.L⁻¹
Rubric,,,,epoxiconazol (triazol) 125g.L⁻¹
Rufast 50 SC,,,,acrinatrina (piretróide) 50g.L⁻¹
Rugby 100 GR,,,,cadusafós (organofosforado) 100g/kg
Rugby 200 CS,,,,cadusafós (organofosforado) 200g.L⁻¹
Ruget,,,,tidiazurom (uréia) 500g.L⁻¹
Rumo WG,,,,indoxacarbe (oxadiazina) 300g/kg
Runner,,,,picloram (ácido piridinocarboxílico) 281g.L⁻¹
Rustler,,,,glifosato (glicina substituída) 480g.L⁻¹
Rustler WG,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Sabre,,,,clorpirifós (organofosforado) 450g.L⁻¹
Saddler 350 SC,,,,tiodicarbe (metilcarbamato de oxima) 350g.L⁻¹
Safety,,,,etofenproxi (éter difenílico) 300g.L⁻¹
Salasat,,,,fipronil (pirazol) 800g/kg
Salasat 800,,,,fipronil (pirazol) 800g/kg
Saluzi 600 FS,,,,imidacloprido (neonicotinóide) 600g.L⁻¹
Samor-Gat,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹
Sanmite,,,,piridabem (piridazinona) 200g.L⁻¹
Sanson AZ,,,,nicossulfurom (sulfoniluréia) 20g/kg + atrazina (triazina) 500g/kg
Sanson 40 SC,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹
Satanil EC,,,,tiobencarbe (tiocarbamato) 400g.L⁻¹ + propanil (anilida) 200g.L⁻¹
Satir-GAT,,,,nicossulfurom (sulfoniluréia) 40g.L⁻¹
Saturn 500 CE,,,,tiobencarbe (tiocarbamato) 500g.L⁻¹
Saurus,,,,acetamiprido (neonicotinóide) 200g/kg
Sauvage,,,,tebuconazol (triazol) 200g.L⁻¹
Sauvage,,,,tebuconazol (triazol) 200g.L⁻¹
Savana,,,,clomazona (isoxazolidinona) 600g.L⁻¹ + carfentrazona-etílica (triazolona) 15g.L⁻¹
Savey WP,,,,hexitiazoxi (tiazolidinacarboxamida) 500g/kg
Scopus,,,,hexazinona (triazinona) 132g/kg + diurom (uréia) 468g/kg
Score,,,,difenoconazol (triazol) 250g.L⁻¹
Score Flexi,,,,propiconazol (triazol) 250g.L⁻¹ + difenoconazol (triazol) 250g.L⁻¹
Scorpion,,,,
Scout,,,,glifosato-sal de amônio (glicina substituída) 792g/kg
Script,,,,fipronil (pirazol) 800g/kg
Sector,,,,
Segurobr,,,,fipronil (pirazol) 250g.L⁻¹
Seizer 100 EC,,,,bifentrina (piretróide) 100g.L⁻¹
Select One Pack,,,,cletodim (oxima ciclohexanodiona) 120g.L⁻¹
Select 240 EC,,,,cletodim (oxima ciclohexanodiona) 240g.L⁻¹
Selefen,,,,cletodim (oxima ciclohexanodiona) 50g.L⁻¹
Semevin 350,,,,tiodicarbe (metilcarbamato de oxima) 350g.L⁻¹
Sempra,,,,halossulfurom-metílico (sulfoniluréia) 750g/kg
Sencor 480,,,,metribuzim (triazinona) 480g.L⁻¹
Senior WG,,,,simazina (triazina) 450g/kg + atrazina (triazina) 450g/kg
Sequence,,,,S-metolacloro (cloroacetanilida) 353% + glifosato (glicina substituída) 265%
Serenade,,,,
Serricornin Fersol,,,,serricornim (cetona alifática) 240g/kg
Sevin 480 SC,,,,carbaril (metilcarbamato de naftila) 480g.L⁻¹
Sevin 850 WP,,,,carbaril (metilcarbamato de naftila) 850g/kg
Shadow 480 SL,,,,glifosato (glicina substituída) 480g.L⁻¹
Shake,,,,piraclostrobina (estrobilurina) 85g.L⁻¹ + epoxiconazol (triazol) 62g.L⁻¹
Shar Conazol,,,,tebuconazol (triazol) 200g.L⁻¹
Shar-Teb,,,,tebuconazol (triazol) 200g.L⁻¹
Shar-Teb 200 EC,,,,tebuconazol (triazol) 200g.L⁻¹
Shavit Agricur 250 EC,,,,triadimenol (triazol) 250g.L⁻¹
Shelter,,,,fipronil (pirazol) 250g.L⁻¹
Sialex 500,,,,procimidona (dicarboximida) 500g/kg
Siber,,,,imidacloprido (neonicotinóide) 600g.L⁻¹
Silverado,,,,picloram (ácido piridinocarboxílico) 388g.L⁻¹
Simanex 500 SC,,,,simazina (triazina) 500g.L⁻¹
Simboll 125 SC,,,,flutriafol (triazol) 125g.L⁻¹
Simetrex SC,,,,simazina (triazina) 250g.L⁻¹ + Ametrina (triazina) 250g.L⁻¹
Simtrac 500,,,,simazina (triazina) 250g.L⁻¹ + atrazina (triazina) 250g.L⁻¹
Sinerge EC,,,,clomazona (isoxazolidinona) 200g.L⁻¹ + Ametrina (triazina) 300g.L⁻¹
SingularBR,,,,fipronil (pirazol) 600g.L⁻¹
Siptran,,,,atrazina (triazina) 500g.L⁻¹
Siptran 500 SC,,,,atrazina (triazina) 500g.L⁻¹
Siptran 800 WP,,,,atrazina (triazina) 800g/kg
Siptroil,,,,atrazina (triazina) 400g.L⁻¹
Sirius 250 SC,,,,pirazossulfurom-etílico (sulfoniluréia) 250g.L⁻¹
Skip 125 SC,,,,flutriafol (triazol) 125g.L⁻¹
SmartFresh,,,,metilciclopropeno (cicloalqueno) 33g/kg
Smartfresh™ Smarttabs,,,,metilciclopropeno (cicloalqueno) 6g/kg
SmartFresh Technology,,,,metilciclopropeno (cicloalqueno) 33g/kg
Smite,,,,etoxazol (difenil oxazolina) 110g.L⁻¹
Soberan,,,,Tembotriona (Tricetona) 420g.L⁻¹
Soccer SC,,,,metribuzim (triazinona) 480g.L⁻¹
Solara 500,,,,sulfentrazona (triazolona) 500g.L⁻¹
Soldier,,,,glifosato (glicina substituída) 792g.L⁻¹
Solist 430 SC,,,,tebuconazol (triazol) 430g.L⁻¹
Sombrero,,,,imidacloprido (neonicotinóide) 600g.L⁻¹
Sonata,,,,Bacillus pumilus (biológico) 1%
Sonet,,,,triforina (análogo de triazol) 190g.L⁻¹
Sonora,,,,
Soprano 125 SC,,,,epoxiconazol (triazol) 125g.L⁻¹
Source,,,,fipronil (pirazol) 250g.L⁻¹
Soyaquim 700 WG,,,,imazaquim (imidazolinona) 700g/kg
Soy-Gold,,,,Oleo Vegetal (ésteres de ácidos graxos) 860g.L⁻¹
Soyvance,,,,imazapique (imidazolinona) 175g/kg
Soyvance Pre,,,,imazapique (imidazolinona) 525g/kg
Space,,,,mancozebe (alquilenobis(ditiocarbamato)) 640g/kg + cimoxanil (acetamida) 80g/kg
Spada WG,,,,propanil (anilida) 600g/kg
Spectro,,,,difenoconazol (triazol) 150g.L⁻¹
Sphere Max,,,,trifloxistrobina (estrobilurina) 375g.L⁻¹ + ciproconazol (triazol) 160g.L⁻¹
Spider 840 WG,,,,diclosulam (sulfonanilida triazolopirimidina) 840g/kg
Spike,,,,tebutiurom (uréia) 500g.L⁻¹
SPITZ,,,,abamectina (avermectina) 36g.L⁻¹
Splat ME,,,,eugenol-metilico (éter aromático) 520g/kg + espinosade (espinosinas) 20g/kg
Sponsor,,,,Cloreto de Mepiquate (amônio quaternário) 250g.L⁻¹
Sponsor,,,,Cloreto de Mepiquate (amônio quaternário) 250g.L⁻¹
Spot SC,,,,dimoxistrobin (estrobilurina) 200g.L⁻¹ + Boscalida (anilida) 200g.L⁻¹
Spotlight,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Spotlight,,,,carfentrazona-etílica (triazolona) 400g.L⁻¹
Sprayquat,,,,Dicloreto de paraquate (bipiridílio) 276g.L⁻¹
Spraytex,,,,óleo mineral (hidrocarbonetos alifáticos) 980ml/litro
Spraytex S,,,,óleo mineral (hidrocarbonetos alifáticos) 756g.L⁻¹
Spring WG,,,,
Sprint WG,,,,orthosulfamuron (sulfoniluréia) 500g/kg
